age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,age_group,prediccion,probabilidad_exito
30,student,single,professional.course,no,yes,no,cellular,sep,tue,282,2,6,1,success,-1.1,94.199,-37.5,0.88,4963.6,Joven,1,0.7476091011661121
31,blue-collar,married,unknown,unknown,no,no,cellular,jul,tue,1608,13,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,Adulto,1,0.8980423259092941
56,management,married,basic.6y,no,yes,no,cellular,jun,tue,910,1,7,2,success,-1.7,94.055,-39.8,0.723,4991.6,Maduro,1,0.9748763559516151
38,admin.,single,university.degree,no,yes,yes,cellular,aug,mon,1504,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,Adulto,1,0.9063916007690817
37,admin.,single,university.degree,no,no,no,cellular,oct,fri,416,2,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,Adulto,1,0.5897070798551999
25,blue-collar,single,basic.9y,no,no,no,cellular,mar,thu,456,2,10,2,success,-1.8,93.369,-34.8,0.654,5008.7,Joven,1,0.9262449031079102
36,admin.,single,university.degree,no,yes,no,cellular,oct,wed,113,1,2,2,success,-3.4,92.431,-26.9,0.742,5017.5,Adulto,1,0.6212686262643268
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,514,1,9,4,success,-1.1,94.767,-50.8,1.035,4963.6,Adulto,1,0.841677418248558
24,admin.,single,university.degree,no,no,no,cellular,sep,tue,106,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,Joven,1,0.676278268656979
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,174,1,3,1,success,-1.8,93.369,-34.8,0.639,5008.7,Adulto,1,0.7758112506200843
28,admin.,single,high.school,no,no,no,cellular,mar,fri,347,2,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,Joven,1,0.5790622867329546
59,housemaid,married,basic.4y,no,no,no,telephone,oct,tue,2187,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,Maduro,1,0.9996565913492332
27,services,single,high.school,no,no,no,cellular,jul,fri,700,5,6,2,success,-1.7,94.215,-40.3,0.896,4991.6,Joven,1,0.9708777357501729
34,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1622,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,Adulto,1,0.9035103478452685
58,admin.,married,basic.4y,unknown,no,no,cellular,may,fri,901,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,Maduro,1,0.5264301811301861
34,housemaid,married,university.degree,no,no,no,cellular,aug,thu,485,3,4,1,success,-2.9,92.201,-31.4,0.873,5076.2,Adulto,1,0.837120022182117
55,retired,married,basic.4y,no,no,no,cellular,jun,tue,553,2,3,4,failure,-2.9,92.963,-40.8,1.262,5076.2,Maduro,1,0.755485657444214
66,housemaid,divorced,basic.4y,no,yes,no,cellular,mar,thu,201,1,3,2,success,-1.8,93.369,-34.8,0.635,5008.7,Senior,1,0.8446587995179559
27,admin.,single,university.degree,no,yes,no,cellular,mar,wed,210,1,6,2,success,-1.8,93.369,-34.8,0.634,5008.7,Joven,1,0.8816535944543953
62,management,divorced,high.school,no,no,no,cellular,aug,mon,405,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,Senior,1,0.5018451571775789
35,admin.,married,university.degree,no,yes,no,cellular,aug,fri,419,5,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,Adulto,1,0.7735885947555087
34,unemployed,single,university.degree,no,no,no,cellular,aug,wed,484,1,999,0,nonexistent,-2.9,92.201,-31.4,0.854,5076.2,Adulto,1,0.5907756215509072
26,admin.,single,high.school,no,no,no,cellular,aug,wed,431,4,999,0,nonexistent,-2.9,92.201,-31.4,0.854,5076.2,Joven,1,0.5422315376274273
42,technician,married,professional.course,no,yes,yes,cellular,oct,mon,509,1,6,1,success,-1.1,94.601,-49.5,1.0,4963.6,Adulto,1,0.8890521795090652
30,student,single,university.degree,no,yes,no,telephone,jun,wed,1062,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,Joven,1,0.7017886433807438
28,admin.,single,university.degree,no,no,no,cellular,mar,thu,189,1,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,Joven,1,0.5909577300143752
32,admin.,single,university.degree,no,yes,no,telephone,jun,tue,1162,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,Adulto,1,0.705507352099865
26,admin.,single,university.degree,no,no,no,telephone,oct,wed,541,1,999,2,failure,-1.1,94.601,-49.5,0.959,4963.6,Joven,1,0.5440531997019064
56,retired,married,basic.4y,no,no,no,cellular,dec,thu,429,1,999,0,nonexistent,-3.0,92.713,-33.0,0.714,5023.5,Maduro,1,0.6208116220531004
35,technician,single,high.school,unknown,no,no,cellular,aug,fri,1258,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,Adulto,1,0.7030633656979651
54,management,divorced,university.degree,no,yes,no,cellular,oct,thu,234,2,6,1,success,-3.4,92.431,-26.9,0.741,5017.5,Maduro,1,0.733494037877188
35,technician,married,professional.course,no,yes,yes,cellular,oct,wed,608,1,9,2,failure,-1.1,94.601,-49.5,0.959,4963.6,Adulto,1,0.8555781603470358
31,admin.,married,university.degree,no,yes,no,cellular,oct,thu,760,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,Adulto,1,0.8848103326352216
29,technician,married,professional.course,no,yes,no,cellular,aug,thu,965,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,Joven,1,0.5045852964431731
22,student,single,high.school,no,yes,yes,cellular,may,mon,1370,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,Joven,1,0.9435172779860017
29,admin.,single,high.school,no,no,no,cellular,jul,tue,319,1,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,Joven,1,0.6206100521908999
34,admin.,single,university.degree,no,no,yes,cellular,aug,tue,543,1,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,Adulto,1,0.5207822251892459
36,admin.,single,high.school,no,yes,no,cellular,oct,mon,113,1,6,1,success,-3.4,92.431,-26.9,0.739,5017.5,Adulto,1,0.5379996363643665
28,admin.,single,high.school,no,no,no,telephone,oct,wed,958,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,Joven,1,0.9264569490350529
57,retired,divorced,basic.9y,no,no,no,cellular,jul,fri,897,3,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,Maduro,1,0.8802934788713263
41,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,fri,1038,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Adulto,1,0.7742263790685248
58,admin.,married,university.degree,no,yes,no,cellular,may,mon,1359,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,Maduro,1,0.8896241059988281
44,admin.,married,university.degree,no,yes,no,cellular,sep,thu,331,1,999,0,nonexistent,-3.4,92.379,-29.8,0.809,5017.5,Adulto,1,0.503389654510113
27,student,single,high.school,no,no,yes,cellular,jul,wed,537,2,999,1,failure,-2.9,92.469,-33.6,1.029,5076.2,Joven,1,0.5680216777163907
40,unemployed,divorced,university.degree,no,yes,no,cellular,jul,wed,1373,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,Adulto,1,0.8834949580434658
24,student,single,unknown,no,yes,yes,cellular,aug,fri,744,1,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,Joven,1,0.9635825360601621
31,admin.,single,university.degree,no,no,no,cellular,oct,thu,334,1,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,Adulto,1,0.504893411170253
29,admin.,single,university.degree,no,yes,no,cellular,apr,wed,513,1,5,2,success,-1.8,93.075,-47.1,1.498,5099.1,Joven,1,0.8009615554933903
59,blue-collar,married,basic.4y,no,no,no,cellular,apr,mon,1397,3,999,1,failure,-1.8,93.749,-34.6,0.642,5008.7,Maduro,1,0.9772004470631832
59,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,1330,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Maduro,1,0.8012055621809152
40,technician,married,professional.course,no,yes,no,cellular,may,wed,248,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,Adulto,1,0.562436851641063
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,577,6,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,Adulto,1,0.9450198712319006
48,unemployed,married,university.degree,no,yes,no,cellular,mar,mon,195,2,999,0,nonexistent,-1.8,93.369,-34.8,0.646,5008.7,Maduro,1,0.5090429049115051
38,admin.,married,high.school,no,yes,no,cellular,may,fri,1281,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,Adulto,1,0.897123815970143
83,retired,married,unknown,no,yes,no,cellular,sep,fri,369,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,Senior,1,0.6593380373065041
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,210,2,15,1,success,-1.7,94.215,-40.3,0.846,4991.6,Adulto,1,0.7887984936638146
30,student,single,high.school,no,no,no,cellular,aug,tue,592,3,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,Joven,1,0.8611736952079829
36,admin.,single,university.degree,no,no,no,cellular,jun,wed,706,1,7,1,success,-1.7,94.055,-39.8,0.739,4991.6,Adulto,1,0.9427271724856146
32,admin.,single,professional.course,no,yes,yes,cellular,may,thu,1046,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,Adulto,1,0.749636965917554
53,admin.,divorced,high.school,no,yes,no,cellular,aug,tue,159,2,3,1,success,-2.9,92.201,-31.4,0.838,5076.2,Maduro,1,0.5285147126365921
50,self-employed,unknown,basic.6y,no,no,no,cellular,nov,wed,968,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,Maduro,1,0.6245307259519375
21,student,single,high.school,no,no,no,cellular,oct,tue,701,2,999,0,nonexistent,-1.1,94.601,-49.5,1.037,4963.6,Joven,1,0.887509360694827
44,blue-collar,married,professional.course,no,yes,no,cellular,jun,fri,336,3,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,Adulto,1,0.7088037355386976
65,retired,married,university.degree,no,no,no,cellular,nov,fri,226,1,3,3,success,-3.4,92.649,-30.1,0.714,5017.5,Senior,1,0.7594931335811376
34,technician,single,university.degree,no,yes,yes,cellular,jul,thu,1065,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,Adulto,1,0.6256573984168815
32,admin.,married,university.degree,no,no,yes,cellular,jun,thu,327,3,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,Adulto,1,0.7578707731169916
31,admin.,single,high.school,no,yes,no,cellular,may,thu,1094,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,Adulto,1,0.7740997584811374
45,unemployed,married,professional.course,unknown,no,no,telephone,sep,thu,1405,1,6,2,failure,-1.1,94.199,-37.5,0.879,4963.6,Adulto,1,0.9803520156447709
67,housemaid,divorced,professional.course,no,no,no,cellular,aug,thu,350,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,Senior,1,0.928928518801229
21,student,single,university.degree,no,no,no,cellular,jun,fri,493,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,Joven,1,0.7251180613265329
53,blue-collar,married,basic.6y,no,no,no,cellular,jun,thu,592,3,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,Maduro,1,0.6043547083253352
56,retired,married,basic.4y,no,no,no,cellular,mar,wed,181,2,9,2,failure,-1.8,93.369,-34.8,0.644,5008.7,Maduro,1,0.661299632755456
43,services,divorced,high.school,no,no,no,cellular,nov,wed,1015,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,Adulto,1,0.5636786759329291
34,unemployed,single,professional.course,no,no,no,cellular,aug,fri,531,2,2,1,success,-2.9,92.201,-31.4,0.849,5076.2,Adulto,1,0.8603650164148131
56,admin.,divorced,university.degree,no,yes,no,cellular,may,mon,867,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,Maduro,1,0.5729263752369754
30,blue-collar,married,high.school,unknown,yes,no,cellular,jul,mon,1153,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Joven,1,0.5861346714658894
35,blue-collar,single,high.school,no,no,no,cellular,oct,fri,622,1,6,1,success,-3.4,92.431,-26.9,0.73,5017.5,Adulto,1,0.9244879473093142
42,blue-collar,married,basic.4y,no,no,no,cellular,apr,wed,1217,3,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,Adulto,1,0.930124991479901
76,retired,married,basic.4y,no,yes,no,cellular,aug,thu,550,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,Senior,1,0.7100381119117135
29,admin.,single,university.degree,no,no,yes,cellular,may,tue,527,2,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,Joven,1,0.5980208800757175
47,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,693,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,Maduro,1,0.5055003337768476
61,retired,married,high.school,no,no,no,telephone,oct,tue,515,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,Senior,1,0.6418445440356435
36,management,married,university.degree,no,no,no,cellular,jun,tue,522,1,6,2,success,-1.7,94.055,-39.8,0.737,4991.6,Adulto,1,0.8427834012107642
51,services,married,basic.6y,no,no,no,telephone,may,fri,1340,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,Maduro,1,0.7853453630685752
25,services,single,high.school,no,yes,no,cellular,jun,thu,239,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,Joven,1,0.6860370903130492
43,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,1332,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,Adulto,1,0.7913352533964979
61,retired,married,university.degree,no,no,no,cellular,nov,mon,507,1,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,Senior,1,0.7375694351611782
35,entrepreneur,married,university.degree,no,yes,yes,telephone,oct,mon,2429,1,999,0,nonexistent,-0.1,93.798,-40.4,5.0,5195.8,Adulto,1,0.999784193613517
39,admin.,married,high.school,no,no,no,cellular,aug,thu,315,2,4,1,success,-2.9,92.201,-31.4,0.873,5076.2,Adulto,1,0.6818130993047556
29,technician,single,professional.course,no,yes,no,cellular,jun,wed,226,2,6,1,success,-1.7,94.055,-39.8,0.704,4991.6,Joven,1,0.6490453373336764
53,admin.,divorced,university.degree,no,no,no,cellular,mar,thu,2486,1,999,0,nonexistent,-1.8,93.369,-34.8,0.654,5008.7,Maduro,1,0.9999855303574086
24,services,single,high.school,no,yes,no,cellular,apr,tue,850,2,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,Joven,1,0.7633637382284135
30,blue-collar,married,basic.6y,no,no,yes,cellular,jul,wed,1152,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,Joven,1,0.7585620488045555
43,management,married,university.degree,no,yes,no,cellular,apr,mon,818,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,Adulto,1,0.5834640151050406
66,management,divorced,university.degree,no,no,no,cellular,sep,tue,679,1,1,1,success,-3.4,92.379,-29.8,0.788,5017.5,Senior,1,0.9723751059717015
30,management,married,university.degree,no,no,no,cellular,oct,wed,711,1,999,0,nonexistent,-1.1,94.601,-49.5,1.043,4963.6,Joven,1,0.900688915944012
33,blue-collar,single,basic.9y,unknown,no,no,cellular,may,thu,1075,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,Adulto,1,0.520639711397471
43,technician,married,high.school,no,yes,yes,cellular,sep,thu,167,1,3,2,success,-3.4,92.379,-29.8,0.809,5017.5,Adulto,1,0.6095786171245623
58,admin.,married,university.degree,no,yes,no,cellular,mar,mon,549,5,999,2,failure,-1.8,93.369,-34.8,0.646,5008.7,Maduro,1,0.7493258941432824
27,blue-collar,divorced,unknown,no,yes,no,telephone,may,fri,1408,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,Joven,1,0.8137034029875738
65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,190,1,3,3,success,-1.1,94.601,-49.5,0.985,4963.6,Senior,1,0.7525407388074773
36,management,single,university.degree,no,no,no,telephone,mar,wed,834,1,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,Adulto,1,0.9328239032893434
34,services,married,basic.9y,no,no,no,cellular,jul,wed,604,1,999,0,nonexistent,-1.7,94.215,-40.3,0.84,4991.6,Adulto,1,0.8251742288608176
37,technician,single,university.degree,no,yes,no,cellular,aug,tue,481,2,999,4,failure,-1.7,94.027,-38.3,0.899,4991.6,Adulto,1,0.6928939054565347
37,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,1150,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,Adulto,1,0.5843865271187282
50,technician,married,university.degree,no,yes,no,cellular,mar,fri,809,1,999,0,nonexistent,-1.8,93.369,-34.8,0.653,5008.7,Maduro,1,0.9603347931556014
37,unemployed,married,professional.course,no,yes,no,telephone,may,fri,3631,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,Adulto,1,0.9999932465654068
39,student,single,unknown,no,yes,no,cellular,jun,fri,474,3,999,0,nonexistent,-2.9,92.963,-40.8,1.224,5076.2,Adulto,1,0.6192971000917188
70,retired,divorced,university.degree,no,yes,no,cellular,sep,fri,692,1,999,0,nonexistent,-3.4,92.379,-29.8,0.741,5017.5,Senior,1,0.9048083283862977
27,services,married,university.degree,no,no,no,cellular,may,tue,752,2,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,Joven,1,0.8054242162798347
43,services,married,high.school,no,yes,yes,cellular,jul,mon,1212,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,Adulto,1,0.6955606336059142
63,admin.,married,university.degree,no,yes,no,cellular,jul,fri,396,2,999,0,nonexistent,-1.7,94.215,-40.3,0.885,4991.6,Senior,1,0.7601057661085077
30,admin.,single,university.degree,no,yes,no,cellular,jun,wed,617,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,Joven,1,0.8138736356673333
28,self-employed,married,basic.9y,no,yes,no,cellular,may,fri,1111,5,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,Joven,1,0.7672832805334594
29,admin.,single,university.degree,no,yes,no,telephone,jun,wed,294,2,3,1,success,-1.7,94.055,-39.8,0.715,4991.6,Joven,1,0.5854184327917579
34,admin.,married,high.school,no,no,yes,cellular,may,wed,811,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,Adulto,1,0.5165192236127685
35,technician,married,professional.course,no,no,no,cellular,aug,tue,441,1,999,0,nonexistent,-2.9,92.201,-31.4,0.859,5076.2,Adulto,1,0.5038160514260587
37,management,divorced,university.degree,no,yes,no,cellular,may,mon,1173,3,9,1,success,-1.8,92.893,-46.2,1.244,5099.1,Adulto,1,0.9534215637762073
31,technician,married,university.degree,no,no,no,cellular,sep,thu,244,1,3,1,success,-1.1,94.199,-37.5,0.878,4963.6,Adulto,1,0.6510153682110783
82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,279,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,Senior,1,0.50930363541154
36,blue-collar,single,basic.6y,no,no,no,cellular,nov,tue,1556,4,999,0,nonexistent,-1.1,94.767,-50.8,1.046,4963.6,Adulto,1,0.9952734109287844
24,services,single,high.school,no,yes,no,cellular,jul,thu,860,2,9,2,failure,-1.7,94.215,-40.3,0.884,4991.6,Joven,1,0.9673847445478257
48,entrepreneur,married,basic.6y,no,no,no,cellular,may,wed,1369,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,Maduro,1,0.9465780205272564
72,retired,married,basic.4y,no,yes,no,cellular,jul,fri,582,2,999,1,failure,-1.7,94.215,-40.3,0.822,4991.6,Senior,1,0.8111606740214464
37,admin.,single,university.degree,no,yes,no,cellular,oct,thu,447,3,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,Adulto,1,0.6118831802964718
31,admin.,single,university.degree,no,yes,no,cellular,jul,wed,1327,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,Adulto,1,0.8725663202552766
28,admin.,single,university.degree,no,yes,no,cellular,mar,thu,370,1,9,1,success,-1.8,93.369,-34.8,0.643,5008.7,Joven,1,0.936729988699305
58,self-employed,married,university.degree,no,no,no,cellular,aug,tue,326,4,6,3,success,-1.7,94.027,-38.3,0.895,4991.6,Maduro,1,0.8813738766776117
43,services,single,high.school,no,no,no,cellular,jul,tue,1317,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,Adulto,1,0.8014591728019907
25,admin.,single,university.degree,no,no,yes,cellular,nov,mon,165,1,3,2,success,-3.4,92.649,-30.1,0.715,5017.5,Joven,1,0.6242500958268303
59,admin.,married,university.degree,no,no,yes,cellular,sep,wed,193,1,3,1,success,-1.1,94.199,-37.5,0.886,4963.6,Maduro,1,0.6377443738057325
45,management,married,university.degree,no,yes,no,cellular,jul,wed,817,2,999,0,nonexistent,-1.7,94.215,-40.3,0.84,4991.6,Adulto,1,0.942953040316542
70,retired,divorced,high.school,no,yes,no,telephone,may,wed,283,2,4,2,success,-1.8,93.876,-40.0,0.697,5008.7,Senior,1,0.5760330929780084
29,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,254,3,3,1,success,-2.9,92.201,-31.4,0.873,5076.2,Joven,1,0.6894306298493287
42,management,married,university.degree,no,no,no,telephone,may,tue,1677,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Adulto,1,0.9408422841893109
70,retired,married,unknown,no,no,no,telephone,mar,mon,174,2,7,2,success,-1.8,93.369,-34.8,0.639,5008.7,Senior,1,0.7473604270668824
37,technician,married,university.degree,no,yes,no,telephone,sep,tue,773,1,3,2,success,-3.4,92.379,-29.8,0.755,5017.5,Adulto,1,0.9455980391387097
33,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,1388,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,Adulto,1,0.9085967930729131
33,services,married,high.school,no,yes,no,cellular,apr,thu,900,2,999,2,failure,-1.8,93.075,-47.1,1.365,5099.1,Adulto,1,0.6377510809378406
31,blue-collar,married,basic.6y,no,yes,no,cellular,may,wed,1279,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,Adulto,1,0.9037200926358099
34,admin.,married,university.degree,no,no,yes,cellular,dec,tue,196,2,6,2,success,-3.0,92.713,-33.0,0.707,5023.5,Adulto,1,0.6679686137217505
70,retired,married,basic.4y,no,no,no,cellular,mar,mon,422,3,999,1,failure,-1.8,92.843,-50.0,1.629,5099.1,Senior,1,0.5767952256709062
53,management,divorced,university.degree,no,no,yes,cellular,nov,fri,368,2,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,Maduro,1,0.8090685144832318
83,retired,married,university.degree,no,yes,no,cellular,jul,tue,178,1,6,2,success,-1.7,94.215,-40.3,0.835,4991.6,Senior,1,0.8315616405710736
26,technician,single,university.degree,no,no,no,cellular,jul,fri,129,2,6,1,success,-1.7,94.215,-40.3,0.861,4991.6,Joven,1,0.7712414942577118
21,student,single,high.school,no,yes,no,cellular,aug,tue,326,2,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,Joven,1,0.648959130617518
27,admin.,single,university.degree,no,no,no,cellular,apr,tue,317,1,12,1,success,-1.8,93.749,-34.6,0.638,5008.7,Joven,1,0.7917471917187437
50,entrepreneur,married,university.degree,no,yes,no,cellular,jul,mon,1165,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,Maduro,1,0.6994946060121898
30,technician,single,professional.course,no,no,no,cellular,sep,tue,706,1,6,1,success,-1.1,94.199,-37.5,0.877,4963.6,Joven,1,0.9516095647936771
18,student,single,basic.9y,no,yes,no,cellular,dec,mon,446,2,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,Joven,1,0.6362231960846003
29,services,single,high.school,no,yes,no,telephone,jun,thu,1018,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,Joven,1,0.5210934613691747
28,services,married,high.school,no,no,yes,cellular,jun,wed,479,2,6,2,success,-1.7,94.055,-39.8,0.715,4991.6,Joven,1,0.8267340804728502
